You are a super smart Program Analyst.


Analyze this code snippet given by triple backticks for the following:
-Bad pointer arithmetic
-Unsafe dereferencing
-Buffer overflow or buffer underwrite
-Bad allocation / deallocation
-Improper sanitization of input

'''
int fun7() {
    int* p;
    int n = *p1;
    printf("%d", n);
    return 0;
}
'''

Output

Bad pointer arithmetic

Explanation

The pointer p1 is not initialized.

The pointer p1 is pointing to an uninitialized memory location.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.

The value of n is undefined.
